OBJECTID,ZIP,ZIP_dbl,Total_Population_2010,Total_Population_2011_2015_ACS,Population_25_years_and_over,Less_than_HS_or_GED,Percent_Less_than_HS_or_GED,BA_or_Higher,Percent_BA_or_Higher,GlobalID,last_edited_date
1,30501,30501,28048,27743,16581,4937,29.8,3369,20.3,{F26140FD-40C3-4940-91AB-11372CEB1BD5},
2,30543,30543,4487,4434,2877,688,23.9,397,13.8,{AF403D0B-F0C8-4422-B0DE-5F916B71A022},
3,30121,30121,22078,22521,13964,2557,18.3,2492,17.8,{A98F5EE8-F85E-4484-B237-3DC27F8566BC},
4,30178,30178,3468,3307,2192,248,11.3,256,11.7,{8ABFFFF2-9AAB-4F51-AEDD-F883CAB06898},
5,30137,30137,1650,1470,1038,221,21.3,190,18.3,{FCB08F4B-4CE6-4058-B177-BDF9D2F59C98},
6,30117,30117,34296,35169,20621,4605,22.3,4568,22.2,{96E5AC72-516A-4371-9980-2BE058D077F3},
7,30116,30116,23156,23090,15002,2518,16.8,2858,19.1,{FFF46EAC-761E-42B0-B309-37219D62E39F},
8,30108,30108,7256,7508,5210,1102,21.2,679,13,{0FC2FA2F-6924-4523-B9A6-120C9063FA37},
9,30265,30265,31713,33553,22042,1383,6.3,8215,37.3,{4ABB6C21-C061-4171-B257-D2A84326F14F},
10,30170,30170,2994,3324,2110,385,18.2,358,17,{B2009A61-ACB5-4C8A-81DB-74FD29219250},
11,30277,30277,20270,22098,14690,1126,7.7,5189,35.3,{A5E4EDFF-43F5-417B-9ED2-A12F0A020F27},
12,30276,30276,13866,14283,9738,1006,10.3,2521,25.9,{AAAFFDEA-B478-4FF8-8238-FE98CB4969C7},
13,30223,30223,36769,36116,24215,5633,23.3,3060,12.6,{0E66F64D-E489-4873-B446-D67D81E442A8},
14,30259,30259,3041,2764,1995,295,14.8,319,16,{817FC36E-5FA9-4BCB-8AC4-E2A9A7DE35ED},
15,30220,30220,5533,4909,3182,517,16.2,408,12.8,{C44EC478-102E-483F-A65A-EF7EA192FA5F},
16,30224,30224,25197,24603,16314,2660,16.3,3523,21.6,{06B804DB-D927-4E7E-8A5A-EB9DCE817A77},
17,30115,30115,35672,37964,23991,1926,8,8882,37,{65C79FB3-7688-4456-8722-1070786D3A6A},
18,30004,30004,53033,60229,39097,1479,3.8,23438,59.9,{2561FF63-A18A-47B4-95B8-65846BD79F8C},
19,30189,30189,36859,37259,24111,1555,6.4,9693,40.2,{5D683B0A-231A-40E9-BDDC-477E9BD8516C},
20,30075,30075,52573,54858,38035,1417,3.7,23548,61.9,{06BA83DF-D69B-4435-A834-FAC00ED36105},
21,30097,30097,41715,44256,28963,1707,5.9,18249,63,{E27F88FF-9E15-4C4A-99B0-54415687AB03},
22,30022,30022,64359,68274,44519,1828,4.1,28184,63.3,{DDE54226-F7F9-48B6-B0CA-2CA45BB353B5},
23,30043,30043,80241,86259,54526,5509,10.1,19323,35.4,{7E91E63F-CF29-42D7-B4CD-F46B8D17E605},
24,30096,30096,62265,69237,45320,4944,10.9,16117,35.6,{15A7C3C0-C811-423A-94D2-36433729DC71},
25,30092,30092,31704,33357,22206,1402,6.3,11882,53.5,{C6E98FAD-AAA5-4706-BF3C-04B944993F24},
26,30068,30068,31595,32068,21941,521,2.4,14649,66.8,{B1F46686-1D99-4839-94C7-CE810BCFAC4E},
27,30071,30071,23005,24286,14306,4394,30.7,3024,21.1,{6BFCEAD6-AEBE-431E-A277-36D1825F06D5},
28,30338,30338,33617,33666,23500,1069,4.5,15943,67.8,{4BB16582-E103-4736-8D87-6E12815E2D29},
29,30067,30067,45182,47556,30983,2533,8.2,14911,48.1,{F0B10C7A-6435-4403-B595-E73203DE10DF},
30,30360,30360,14536,15744,9878,2153,21.8,4003,40.5,{3D06A22D-2D68-44D2-91B0-B567C50C73BE},
31,30044,30044,79701,86523,53885,8250,15.3,15841,29.4,{CBF01BBF-2DA5-4B41-B16F-D2A437016812},
