"","year","state","county","category","type","rate","unit","age","race","gender","fips","income"
"1","2013","GA","appling","Cardiovascular Diseases","All stroke",29.2,"per 100,000","Ages 35-64 years","Overall","Overall","13001",28353
"2","2014","GA","appling","Cardiovascular Diseases","All stroke",29.7,"per 100,000","Ages 35-64 years","Overall","Overall","13001",29185
"3","2019","GA","appling","Cardiovascular Diseases","All stroke",29.3,"per 100,000","Ages 35-64 years","Overall","Overall","13001",35398
"4","2017","GA","appling","Cardiovascular Diseases","All stroke",31.3,"per 100,000","Ages 35-64 years","Overall","Overall","13001",33075
"5","2016","GA","appling","Cardiovascular Diseases","All stroke",30.8,"per 100,000","Ages 35-64 years","Overall","Overall","13001",31793
"6","2015","GA","appling","Cardiovascular Diseases","All stroke",31.8,"per 100,000","Ages 35-64 years","Overall","Overall","13001",31414
"7","2011","GA","appling","Cardiovascular Diseases","All stroke",29.1,"per 100,000","Ages 35-64 years","Overall","Overall","13001",27398
"8","2018","GA","appling","Cardiovascular Diseases","All stroke",30.6,"per 100,000","Ages 35-64 years","Overall","Overall","13001",33411
"9","2012","GA","appling","Cardiovascular Diseases","All stroke",29.1,"per 100,000","Ages 35-64 years","Overall","Overall","13001",27742
"10","2010","GA","appling","Cardiovascular Diseases","All stroke",30.8,"per 100,000","Ages 35-64 years","Overall","Overall","13001",25587
"11","2016","GA","appling","Cardiovascular Diseases","All stroke",328.1,"per 100,000","Ages 65 years and older","Overall","Overall","13001",31793
"12","2014","GA","appling","Cardiovascular Diseases","All stroke",368.5,"per 100,000","Ages 65 years and older","Overall","Overall","13001",29185
"13","2015","GA","appling","Cardiovascular Diseases","All stroke",355.1,"per 100,000","Ages 65 years and older","Overall","Overall","13001",31414
"14","2017","GA","appling","Cardiovascular Diseases","All stroke",319.1,"per 100,000","Ages 65 years and older","Overall","Overall","13001",33075
"15","2019","GA","appling","Cardiovascular Diseases","All stroke",288.5,"per 100,000","Ages 65 years and older","Overall","Overall","13001",35398
"16","2018","GA","appling","Cardiovascular Diseases","All stroke",313.2,"per 100,000","Ages 65 years and older","Overall","Overall","13001",33411
"17","2013","GA","appling","Cardiovascular Diseases","All stroke",337.3,"per 100,000","Ages 65 years and older","Overall","Overall","13001",28353
"18","2011","GA","appling","Cardiovascular Diseases","All stroke",359.3,"per 100,000","Ages 65 years and older","Overall","Overall","13001",27398
"19","2010","GA","appling","Cardiovascular Diseases","All stroke",386,"per 100,000","Ages 65 years and older","Overall","Overall","13001",25587
"20","2012","GA","appling","Cardiovascular Diseases","All stroke",342.1,"per 100,000","Ages 65 years and older","Overall","Overall","13001",27742
"21","2013","GA","atkinson","Cardiovascular Diseases","All stroke",23.8,"per 100,000","Ages 35-64 years","Overall","Overall","13003",25099
"22","2014","GA","atkinson","Cardiovascular Diseases","All stroke",24.2,"per 100,000","Ages 35-64 years","Overall","Overall","13003",25401
"23","2019","GA","atkinson","Cardiovascular Diseases","All stroke",25,"per 100,000","Ages 35-64 years","Overall","Overall","13003",30314
"24","2017","GA","atkinson","Cardiovascular Diseases","All stroke",26.6,"per 100,000","Ages 35-64 years","Overall","Overall","13003",29096
"25","2016","GA","atkinson","Cardiovascular Diseases","All stroke",25.5,"per 100,000","Ages 35-64 years","Overall","Overall","13003",26933
"26","2015","GA","atkinson","Cardiovascular Diseases","All stroke",26.7,"per 100,000","Ages 35-64 years","Overall","Overall","13003",27608
"27","2011","GA","atkinson","Cardiovascular Diseases","All stroke",24.5,"per 100,000","Ages 35-64 years","Overall","Overall","13003",23645
"28","2018","GA","atkinson","Cardiovascular Diseases","All stroke",25.8,"per 100,000","Ages 35-64 years","Overall","Overall","13003",29067
"29","2012","GA","atkinson","Cardiovascular Diseases","All stroke",24.4,"per 100,000","Ages 35-64 years","Overall","Overall","13003",24307
"30","2010","GA","atkinson","Cardiovascular Diseases","All stroke",25.2,"per 100,000","Ages 35-64 years","Overall","Overall","13003",21795
"31","2016","GA","atkinson","Cardiovascular Diseases","All stroke",282.8,"per 100,000","Ages 65 years and older","Overall","Overall","13003",26933
"32","2014","GA","atkinson","Cardiovascular Diseases","All stroke",301.4,"per 100,000","Ages 65 years and older","Overall","Overall","13003",25401
"33","2015","GA","atkinson","Cardiovascular Diseases","All stroke",306.2,"per 100,000","Ages 65 years and older","Overall","Overall","13003",27608
"34","2017","GA","atkinson","Cardiovascular Diseases","All stroke",277.9,"per 100,000","Ages 65 years and older","Overall","Overall","13003",29096
"35","2019","GA","atkinson","Cardiovascular Diseases","All stroke",285.4,"per 100,000","Ages 65 years and older","Overall","Overall","13003",30314
"36","2018","GA","atkinson","Cardiovascular Diseases","All stroke",289.8,"per 100,000","Ages 65 years and older","Overall","Overall","13003",29067
"37","2013","GA","atkinson","Cardiovascular Diseases","All stroke",280.9,"per 100,000","Ages 65 years and older","Overall","Overall","13003",25099
"38","2011","GA","atkinson","Cardiovascular Diseases","All stroke",312.4,"per 100,000","Ages 65 years and older","Overall","Overall","13003",23645
"39","2010","GA","atkinson","Cardiovascular Diseases","All stroke",329.1,"per 100,000","Ages 65 years and older","Overall","Overall","13003",21795
"40","2012","GA","atkinson","Cardiovascular Diseases","All stroke",288.6,"per 100,000","Ages 65 years and older","Overall","Overall","13003",24307
"41","2013","GA","bacon","Cardiovascular Diseases","All stroke",26.3,"per 100,000","Ages 35-64 years","Overall","Overall","13005",27073
"42","2014","GA","bacon","Cardiovascular Diseases","All stroke",27.1,"per 100,000","Ages 35-64 years","Overall","Overall","13005",28123
"43","2019","GA","bacon","Cardiovascular Diseases","All stroke",29.8,"per 100,000","Ages 35-64 years","Overall","Overall","13005",32699
