county,income,year,,,,,,,,,,,
Appling,"28,353",2013,,,,,,,,,,,
Atkinson,"25,099",2013,,,,,,,,,,,
Bacon,"27,073",2013,,,,,,,,,,,
Baker,"37,986",2013,,,,,,,,,,,
Baldwin,"28,052",2013,,,,,,,,,,,
Banks,"29,908",2013,,,,,,,,,,,
Barrow,"31,026",2013,,,,,,,,,,,
Bartow,"31,632",2013,,,,,,,,,,,
Ben Hill,"27,285",2013,,,,,,,,,,,
Berrien,"27,486",2013,,,,,,,,,,,
Bibb,"34,528",2013,,,,,,,,,,,
Bleckley,"31,292",2013,,,,,,,,,,,
Brantley,"23,604",2013,,,,,,,,,,,
Brooks,"29,220",2013,,,,,,,,,,,
Bryan,"43,544",2013,,,,,,,,,,,
Bulloch,"27,900",2013,,,,,,,,,,,
Burke,"29,373",2013,,,,,,,,,,,
Butts,"27,937",2013,,,,,,,,,,,
Calhoun,"22,717",2013,,,,,,,,,,,
Camden,"31,183",2013,,,,,,,,,,,
Candler,"26,412",2013,,,,,,,,,,,
Carroll,"32,342",2013,,,,,,,,,,,
Catoosa,"30,189",2013,,,,,,,,,,,
Charlton,"21,843",2013,,,,,,,,,,,
Chatham,"40,422",2013,,,,,,,,,,,
Chattahoochee,"28,364",2013,,,,,,,,,,,
Chattooga,"26,225",2013,,,,,,,,,,,
Cherokee,"41,527",2013,,,,,,,,,,,
Clarke,"27,475",2013,,,,,,,,,,,
Clay,"27,407",2013,,,,,,,,,,,
Clayton,"24,433",2013,,,,,,,,,,,
Clinch,"30,369",2013,,,,,,,,,,,
Cobb,"45,741",2013,,,,,,,,,,,
Coffee,"26,956",2013,,,,,,,,,,,
Colquitt,"26,955",2013,,,,,,,,,,,
Columbia,"43,474",2013,,,,,,,,,,,
Cook,"27,912",2013,,,,,,,,,,,
Coweta,"38,774",2013,,,,,,,,,,,
Crawford,"28,882",2013,,,,,,,,,,,
Crisp,"27,190",2013,,,,,,,,,,,
Dade,"28,707",2013,,,,,,,,,,,
Dawson,"35,843",2013,,,,,,,,,,,
